title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Dirty Dozen",movie,"Action, Adventure, War",1967,tt0061578,7.7,81308,
"Last Days",movie,"Drama, Music",2005,tt0403217,5.7,24246,
Ray,movie,"Biography, Drama, Music",2004,tt0350258,7.7,160725,
Godzilla,movie,"Horror, Sci-Fi",1954,tt0047034,7.6,42716,
"Godzilla Raids Again",movie,"Action, Horror, Sci-Fi",1955,tt0048127,5.7,8984,
"Mothra vs. Godzilla",movie,"Adventure, Fantasy, Sci-Fi",1964,tt0058379,6.5,10983,
Hostel,movie,Horror,2005,tt0450278,5.9,197153,
"Hostel: Part II",movie,Horror,2007,tt0498353,5.5,98824,
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14354,
"Anatomy 2",movie,"Horror, Sci-Fi, Thriller",2003,tt0312358,5.1,4039,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69221,
Giant,movie,"Drama, Western",1956,tt0049261,7.6,43585,
"The Last Metro",movie,"Drama, Romance, War",1980,tt0080610,7.3,16365,
"The Soft Skin",movie,"Drama, Romance",1964,tt0058458,7.5,8707,
"Inland Empire",movie,"Drama, Fantasy, Mystery",2006,tt0460829,6.8,65591,
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,356097,
"The Mummy: Tomb of the Dragon Emperor",movie,"Action, Adventure, Fantasy",2008,tt0859163,5.2,174852,
Next,movie,"Action, Sci-Fi, Thriller",2007,tt0435705,6.2,169951,
"Au Revoir les Enfants",movie,"Drama, War",1987,tt0092593,8,37242,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75446,
Elephant,movie,"Crime, Drama, Thriller",2003,tt0363589,7.1,100035,
"The Devil's Advocate",movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,419660,
"Shoot the Piano Player",movie,"Crime, Drama, Thriller",1960,tt0054389,7.4,21229,
"You, Me and Dupree",movie,"Comedy, Romance",2006,tt0463034,5.6,85329,
